user_id,held_out_item,recommendations
91,46,49|48|3|31|65
92,54,49|48|25|72|46
93,11,49|25|48|74|46
94,38,49|48|24|46|72
95,27,48|31|46|21|72
96,61,48|43|72|25|78
97,48,72|25|45|65|27
98,49,49|48|53|65|25
99,14,48|46|43|72|21
100,25,49|78|46|74|43
101,25,43|72|45|78|3
102,38,46|25|72|27|45
103,49,25|31|78|45|27
104,34,49|72|48|78|25
105,26,49|72|48|46|25
106,27,48|27|46|72|43
107,25,48|46|43|72|21
108,75,49|78|48|46|65
109,24,49|48|24|72|46
110,49,43|25|78|65|4
111,48,48|46|25|27|72
112,62,49|72|25|48|78
113,17,46|72|45|25|65
114,62,49|72|48|65|46
115,48,78|45|65|50|3
116,3,48|72|46|25|43
117,49,43|72|31|45|21
118,48,43|25|72|27|65
119,24,27|45|72|78|21
120,7,48|50|46|72|25
121,49,43|3|27|72|4
122,28,49|48|46|72|21
123,17,46|72|27|65|45
124,13,48|46|72|25|58
125,36,49|48|72|25|38
126,37,33|72|25|39|27
127,54,49|25|72|48|65
128,9,49|48|46|65|72
129,48,25|72|65|78|50
130,58,27|48|3|46|78
131,49,49|72|25|3|65
132,49,48|72|65|25|27
133,49,72|25|45|27|78
134,0,49|72|48|46|33
135,6,72|25|65|27|78
136,10,49|48|72|65|25
137,72,49|46|74|43|33
138,27,49|48|74|21|46
139,51,48|25|72|46|43
140,72,49|48|74|46|33
141,13,49|48|27|43|78
142,47,46|72|25|27|65
143,67,49|27|48|72|46
144,72,78|49|48|46|25
145,32,49|48|46|25|75
146,50,49|72|48|74|25
147,72,46|43|72|21|65
148,26,49|48|21|46|72
149,35,43|33|25|72|27
150,72,49|48|75|21|3
151,33,49|25|48|72|33
152,59,49|48|21|72|46
153,69,49|46|72|25|65
154,49,49|48|46|72|25
155,35,43|78|27|31|33
156,29,49|48|72|46|43
157,33,48|72|43|39|25
158,49,39|72|25|45|32
159,43,46|43|25|72|27
160,62,48|46|72|25|4
161,3,49|3|46|72|43
162,49,49|72|48|25|46
163,40,49|25|72|53|48
164,20,49|72|46|33|43
165,75,49|72|48|50|43
166,30,49|48|24|39|72
167,39,49|74|25|31|48
168,8,49|46|25|72|65
169,65,48|25|72|46|58
170,54,49|27|53|48|72
171,18,49|3|48|25|4
172,53,49|25|48|46|65
173,46,49|50|21|48|72
174,72,49|46|25|27|67
175,38,49|48|21|72|39
176,25,48|72|46|43|78
177,38,25|48|46|78|39
178,3,49|48|65|46|27
179,46,25|72|78|58|44
180,31,48|43|25|75|65
181,76,49|48|46|75|21
182,38,49|25|48|46|72
183,6,49|46|48|72|25
184,22,25|46|43|75|65
185,45,72|49|51|65|74
186,53,43|50|78|25|45
187,48,49|48|21|78|46
188,65,46|25|72|27|67
189,49,43|46|72|50|25
190,43,49|48|31|72|32
191,16,48|43|72|25|3
192,49,78|45|25|65|27
193,46,46|65|25|27|45
194,66,48|25|43|72|27
195,36,49|48|72|25|78
196,11,48|27|46|39|72
197,35,48|72|3|43|27
198,48,72|25|45|27|3
199,31,49|48|39|46|72
200,65,48|65|46|25|43
201,49,25|27|72|65|44
202,37,49|31|46|78|25
203,25,43|72|4|24|65
204,49,25|65|72|27|44
205,46,46|21|72|45|65
206,16,49|65|48|72|27
207,58,48|25|46|65|43
208,50,48|25|46|72|65
209,14,25|72|65|44|27
210,10,49|48|72|21|43
211,49,25|27|72|65|44
212,18,49|48|25|46|72
213,49,46|75|25|65|27
214,69,49|46|65|27|31
215,74,49|75|65|48|3
216,31,49|27|48|72|38
217,43,46|74|45|27|65
218,69,48|72|46|65|27
219,14,49|25|48|27|46
220,57,25|48|43|72|65
221,74,49|65|48|25|4
222,49,48|74|65|25|27
223,9,49|25|72|46|3
224,49,27|72|78|65|50
225,54,46|43|72|53|25
226,27,49|46|75|43|50
227,48,72|45|21|65|24
228,70,49|48|50|72|46
229,37,72|25|27|65|3
230,49,46|25|72|45|27
231,57,46|43|25|50|72
232,15,48|46|43|72|27
233,45,45|72|25|65|27
234,25,25|49|72|48|53
235,27,72|78|21|33|65
236,13,49|48|72|46|3
237,32,49|48|78|25|27
238,31,49|78|48|53|51
239,78,49|48|25|46|65
240,46,25|45|33|27|78
241,25,49|48|46|72|65
242,65,49|48|27|72|46
243,65,48|27|43|21|72
244,51,43|46|72|78|51
245,40,43|3|72|45|4
246,3,49|48|25|3|46
247,9,49|48|3|74|43
248,27,49|48|75|46|24
249,7,27|48|72|46|43
250,59,49|48|46|25|65
251,49,46|72|78|25|27
252,18,46|45|78|25|27
253,66,49|48|21|24|46
254,51,48|46|43|78|65
255,21,49|48|72|24|53
256,78,48|46|25|43|67
257,0,49|72|25|39|43
258,33,48|46|25|78|43
259,33,49|46|27|43|78
260,52,49|75|25|48|31
261,7,25|72|3|45|27
262,8,49|31|46|25|43
263,53,49|46|72|21|43
264,59,48|46|72|25|65
265,78,49|72|65|48|27
266,33,49|21|48|72|24
267,5,49|48|72|25|46
268,48,72|21|65|50|3
269,48,31|25|72|27|45
270,45,25|72|78|50|3
271,38,45|72|33|25|78
272,53,49|48|46|25|78
273,59,49|48|72|39|25
274,58,48|46|72|27|43
275,11,49|65|25|48|46
276,49,25|46|43|72|45
277,45,46|43|25|72|3
278,50,27|49|72|48|58
279,32,48|46|43|25|27
280,25,49|43|72|21|50
281,57,49|48|25|46|58
282,58,46|72|25|65|27
283,37,48|46|31|74|25
284,3,48|46|74|43|75
285,46,48|78|25|65|3
286,54,49|78|48|74|25
287,11,46|72|25|39|27
288,38,49|48|33|46|72
289,78,48|46|65|50|43
290,25,48|72|46|43|78
291,74,72|49|74|25|46
292,30,46|43|72|25|32
293,11,49|33|48|25|72
294,72,49|46|43|33|3
295,3,49|72|25|65|48
296,11,49|48|72|43|3
297,72,48|46|43|25|3
298,16,49|25|50|48|31
299,21,48|46|78|74|31
300,31,43|31|33|72|25
301,52,72|25|27|78|44
302,73,46|25|78|65|74
303,49,72|43|25|65|27
304,32,25|72|38|27|45
305,38,48|25|46|78|43
306,72,74|45|27|65|25
307,75,49|65|48|74|25
308,67,49|51|65|72|48
309,40,72|65|45|25|27
310,12,49|33|43|25|39
311,11,48|46|25|43|72
312,20,46|72|43|65|21
313,32,49|46|25|43|78
314,45,49|3|78|48|27
315,50,49|72|25|48|78
316,72,49|48|78|25|74
317,10,49|25|46|72|43
318,39,49|43|39|25|72
319,25,49|27|46|72|38
